,name-of-company,name-of-job,location,salary,tech,level,Unnamed: 0
0,Ripple Technology,Senior ASIC Design Engineer,"Milpitas, CA",$100K - $299K (Employer est.),Python,,
1,theCoderSchool Palo Alto,Code Coach,"Palo Alto, CA",$18.00 - $30.00 Per Hour (Employer est.),Python,,
2,EnerRenew,IT Engineer (Internal & External),"Saratoga, CA",$63K - $150K (Employer est.),Python,,
3,DataAnnotation4.0,Software Developer - AI Trainer (Contract),"San Jose, CA",$30.00 Per Hour (Employer est.),Python,,
4,"Allegro MicroSys (ALGM), Design & Manufacturing Mixed-Signal Chips/IC's. Exclusive Job Opportunity3.4",Staff Test Engineer (ATE/Wafer/Probe),"Milpitas, CA",$145K - $180K (Employer est.),Python,,
5,ASML4.1,Senior Software Architect,"San Jose, CA",$163K - $212K (Glassdoor est.),Python,,
6,Granite River Labs Inc,Lab Manager,"Santa Clara, CA",$150K - $250K (Employer est.),Python,,
7,Sandia National Laboratories4.1,R&D Radiation Transport and Effects Computational Scientist (Mid-Career/Experienced),"Livermore, CA",$112K - $177K (Glassdoor est.),Python,,
8,San Francisco Bay University,Adjunct Instructor – Computer Science (On-site),"Fremont, CA",$139.50 Per Hour (Employer est.),Python,,
9,Loyola Enterprises Inc.,West Coast DevOps Developer (Requires TS/SCI Clearance),California,$140K (Employer est.),Python,,
10,Kett Engineering Corporation2.9,Reliability Test Engineer,"Santa Clara, CA",$30.00 Per Hour (Employer est.),Python,,
11,Stingray Direct4.5,E-commerce Data Scientist - Health and Wellness - California REMOTE,California,$110K - $130K (Employer est.),Python,,
12,"Element Energy, Inc.3.5",QA Engineer - MLOps Testing Lead,"Menlo Park, CA",$157K - $165K (Employer est.),Python,,
13,Granite River Labs Inc,Staff / Senior Staff Hardware Engineer,"Santa Clara, CA",$90K - $200K (Employer est.),Python,,
14,Strategic Employment3.4,NPU Architect,"San Jose, CA",$200K - $250K (Employer est.),Python,,
15,Sensel5.0,Software Engineer: Tools and Applications,"Sunnyvale, CA",$130K - $170K (Employer est.),Python,,
16,theCoderSchool Cupertino,Code Coach,"Cupertino, CA",$18.00 - $36.00 Per Hour (Employer est.),Python,,
17,San Francisco Bay University,Online Instructor - Computer Science,"Fremont, CA",$139.50 Per Hour (Employer est.),Python,,
