employer,job_title,location,tech,job_type,min_salary,max_salary
Ripple Technology,Senior ASIC Design Engineer,"Milpitas, CA",Python,,100000.0,299000.0
theCoderSchool Palo Alto,Code Coach,"Palo Alto, CA",Python,,37440.0,62400.0
EnerRenew,IT Engineer (Internal & External),"Saratoga, CA",Python,,63000.0,150000.0
DataAnnotation4.0,Software Developer - AI Trainer (Contract),"San Jose, CA",Python,,37440.0,62400.0
"Allegro MicroSys (ALGM), Design & Manufacturing Mixed-Signal Chips/IC's. Exclusive Job Opportunity3.4",Staff Test Engineer (ATE/Wafer/Probe),"Milpitas, CA",Python,,145000.0,180000.0
ASML4.1,Senior Software Architect,"San Jose, CA",Python,,163000.0,212000.0
Granite River Labs Inc,Lab Manager,"Santa Clara, CA",Python,,150000.0,250000.0
Sandia National Laboratories4.1,R&D Radiation Transport and Effects Computational Scientist (Mid-Career/Experienced),"Livermore, CA",Python,,112000.0,177000.0
San Francisco Bay University,Adjunct Instructor – Computer Science (On-site),"Fremont, CA",Python,,174096.0,290160.0
Loyola Enterprises Inc.,West Coast DevOps Developer (Requires TS/SCI Clearance),California,Python,,84000.0,140000.0
Kett Engineering Corporation2.9,Reliability Test Engineer,"Santa Clara, CA",Python,,37440.0,62400.0
Stingray Direct4.5,E-commerce Data Scientist - Health and Wellness - California REMOTE,California,Python,,110000.0,130000.0
"Element Energy, Inc.3.5",QA Engineer - MLOps Testing Lead,"Menlo Park, CA",Python,,157000.0,165000.0
Granite River Labs Inc,Staff / Senior Staff Hardware Engineer,"Santa Clara, CA",Python,,90000.0,200000.0
Strategic Employment3.4,NPU Architect,"San Jose, CA",Python,,200000.0,250000.0
Sensel5.0,Software Engineer: Tools and Applications,"Sunnyvale, CA",Python,,130000.0,170000.0
theCoderSchool Cupertino,Code Coach,"Cupertino, CA",Python,,37440.0,74880.0
San Francisco Bay University,Online Instructor - Computer Science,"Fremont, CA",Python,,174096.0,290160.0
Health Care Recruiters International4.0,Senior Software Engineer (Surgical Robotics & Controls),"San Jose, CA",Python,,175000.0,220000.0
"General Dynamics Mission Systems, Inc3.9",Digital Signal Processing (DSP) Software Engineer,"San Jose, CA",Python,,110000.0,120000.0
Kett Engineering Corporation2.9,Lab Technician- Firmware emphasis,"Cupertino, CA",Python,,62400.0,83200.0
Celandyne Software Solutions,Python-Developers,"Santa Clara, CA",Python,,80000.0,144000.0
TalentBurst4.4,"Sr. Mechanical Designer, Power Electronics","San Jose, CA",Python,,74880.0,124800.0
Northrop Grumman4.0,Associate Software Engineer / Software Engineer (Active Top Secret Clearance REQUIRED),"San Jose, CA",Python,,79000.0,119000.0
BayOne3.9,Python Dev,"San Jose, CA",Python,,99000.0,154000.0
Indx Technology4.4,Computational Biologist-I,"Cupertino, CA",Python,,95000.0,152000.0
Demant4.0,Marketing Insights Manager,United States,Python,,Not Applicable,Not Applicable
UST4.0,C++ Developer,"Santa Clara, CA",Python,,74000.0,110000.0
LMI Technologies4.0,Solutions Engineer,"Cupertino, CA",Python,,76000.0,101000.0
Adobe4.4,"Software Engineer, Python- Firefly","San Jose, CA",Python,,124000.0,234000.0
,,,Python,,Not Applicable,Not Applicable
Lockheed Martin,Software Engineer – Early Career,,,Entry level,Not Applicable,Not Applicable
The Home Depot,SOFTWARE ENGINEER,,,Entry level,Not Applicable,Not Applicable
Lockheed Martin,Software Engineer - Early Career,,,Entry level,Not Applicable,Not Applicable
Lockheed Martin,Software Engineer - Early Career,,,Entry level,Not Applicable,Not Applicable
Lockheed Martin,Software Engineer - Early Career,,,Entry level,Not Applicable,Not Applicable
Lockheed Martin,Software Engineer - Intern,,,Internship,Not Applicable,Not Applicable
The Home Depot,Software Engineer,,,Entry level,Not Applicable,Not Applicable
The Home Depot,Software Engineer,,,Entry level,Not Applicable,Not Applicable
Nike,Front End Software Engineer - React,,,Entry level,Not Applicable,Not Applicable
Vellum,Software Engineer - Frontend / Fullstack,,,Entry level,Not Applicable,Not Applicable
Vellum,Software Engineer - Frontend / Fullstack,,,Entry level,Not Applicable,Not Applicable
Loop,"Software Engineer, 2024 New Grad",,,Entry level,Not Applicable,Not Applicable
Lockheed Martin,Software Engineer - Early Career,,,Entry level,Not Applicable,Not Applicable
Lockheed Martin,Software Engineer - Early Career,,,Entry level,Not Applicable,Not Applicable
Paramount+,Full-Stack Software Engineer,,,Entry level,Not Applicable,Not Applicable
Lockheed Martin,Software Engineer (Tool Developer) - Early Career,,,Entry level,Not Applicable,Not Applicable
Planned Systems International,Jr Web Developer (Entry Level),,,Not Applicable,Not Applicable,Not Applicable
Lockheed Martin,Software Engineer - Early Career,,,Entry level,Not Applicable,Not Applicable
Lockheed Martin,Software Engineer - Early Career,,,Entry level,Not Applicable,Not Applicable
Lockheed Martin,Software Engineer - Intern,,,Internship,Not Applicable,Not Applicable
Lockheed Martin,Software Engineer - Early Career,,,Entry level,Not Applicable,Not Applicable
"CrossCountry Mortgage, LLC",Jr. Software Engineer Trainee (Full-time Paid),,,Internship,Not Applicable,Not Applicable
Lockheed Martin,Software Engineer - Intern,,,Internship,Not Applicable,Not Applicable
Meta,"Data Scientist, Product Analytics",,,Not Applicable,Not Applicable,Not Applicable
Trinnovo Group | B Corp™,Data Scientist - Capsid Engineering,,,Mid-Senior level,Not Applicable,Not Applicable
Trane Technologies,Senior Data Scientist,,,Mid-Senior level,Not Applicable,Not Applicable
Dropbox,Data Scientist,,,Not Applicable,Not Applicable,Not Applicable
Dropbox,Data Scientist,,,Not Applicable,Not Applicable,Not Applicable
TikTok,Data Scientist - Trust & Safety,,,Not Applicable,Not Applicable,Not Applicable
UX Hires,Data Scientist- Remote (EU Time Zone),,,Entry level,Not Applicable,Not Applicable
TikTok,Data Scientist - TikTok Commerce,,,Not Applicable,Not Applicable,Not Applicable
Robinhood,"Senior Data Scientist, Product Brokerage",,,Mid-Senior level,Not Applicable,Not Applicable
Meta,Product Manager,,,Not Applicable,Not Applicable,Not Applicable
Meta,Product Manager,,,Not Applicable,Not Applicable,Not Applicable
TikTok,Product Manager - TikTok Connected TV,,,Not Applicable,Not Applicable,Not Applicable
Meta,Product Manager,,,Not Applicable,Not Applicable,Not Applicable
TikTok,"Product Manager, In-App Browser",,,Not Applicable,Not Applicable,Not Applicable
Western Union,Product Manager - B2C Payments,,,Mid-Senior level,Not Applicable,Not Applicable
Atria Institute,"Product Manager, Member Experience",,,Mid-Senior level,Not Applicable,Not Applicable
TikTok,TikTok - E-commerce Search Product Manager - Consumer Direction,,,Not Applicable,Not Applicable,Not Applicable
TikTok,Product Manager - Ecosystem Governance & Strategy （TikTok LIVE),,,Not Applicable,Not Applicable,Not Applicable
Motivo,Product Manager,,,Mid-Senior level,Not Applicable,Not Applicable
Western Union,Product Manager - Kiosk,,,Mid-Senior level,Not Applicable,Not Applicable
MillerKnoll,Associate Product Manager,,,Entry level,Not Applicable,Not Applicable
Experfy,Product Manager,,,Mid-Senior level,Not Applicable,Not Applicable
"Niantic, Inc.","Growth Product Manager, Peridot",,,Entry level,Not Applicable,Not Applicable
Verily,"Product Manager, Analytics and Experiments",,,Mid-Senior level,Not Applicable,Not Applicable
Meta,"Product Manager, Reality Labs",,,Not Applicable,Not Applicable,Not Applicable
adidas,Graphics Designer,,,Not Applicable,Not Applicable,Not Applicable
Eleven Recruiting,Graphic Designer,,,Mid-Senior level,Not Applicable,Not Applicable
Virgin Hotels,Graphic Designer,,,Mid-Senior level,Not Applicable,Not Applicable
Aquent,Graphic Designer,,,Associate,Not Applicable,Not Applicable
Bearpaw Partners,Graphic Designer,,,,Not Applicable,Not Applicable
Pearpop,Graphic Designer,,,Associate,Not Applicable,Not Applicable
Milk Makeup,International Trade Marketing Manager,,,Associate,Not Applicable,Not Applicable
ASSOULINE,Marketing Manager,,,Mid-Senior level,Not Applicable,Not Applicable
Coty,Global Trade Marketing Manager - Makeup,,,Not Applicable,Not Applicable,Not Applicable
Instagram,"Brand Marketing Manager, Instagram",,,Not Applicable,Not Applicable,Not Applicable
KFC,Assoc. Marketing Manager,,,Associate,Not Applicable,Not Applicable
PACSUN,Digital Marketing Manager - Media Planning,,,Mid-Senior level,Not Applicable,Not Applicable
Chipotle Mexican Grill,Brand Manager,,,Not Applicable,Not Applicable,Not Applicable
Coty,"Assistant Brand Manager, Consumer Engagement",,,Not Applicable,Not Applicable,Not Applicable
Unleashed Brands,Director of Brand Marketing,,,Mid-Senior level,Not Applicable,Not Applicable
LifeStyles Healthcare,Brand Manager,,,Mid-Senior level,Not Applicable,Not Applicable
