name-of-company,name-of-job,location,salary,tech
Ripple Technology,Senior ASIC Design Engineer,"Milpitas, CA",$100K - $299K (Employer est.),Python
theCoderSchool Palo Alto,Code Coach,"Palo Alto, CA",$18.00 - $30.00 Per Hour (Employer est.),Python
EnerRenew,IT Engineer,"Saratoga, CA",$63K - $150K (Employer est.),Python
DataAnnotation4.2,Software Developer - AI Trainer (Contract),"San Jose, CA",$30.00 Per Hour (Employer est.),Python
"Allegro MicroSys (ALGM), Design & Manufacturing Mixed-Signal Chips/IC's. Exclusive Job Opportunity3.4",Staff Test Engineer (ATE/Wafer/Probe),"Milpitas, CA",$145K - $180K (Employer est.),Python
NVIDIA4.6,Formal Verification Engineer,"Santa Clara, CA",$108K - $247K (Employer est.),Python
Elec Jet3.6,Battery Engineer,"San Jose, CA",$70K - $130K (Employer est.),Python
Loyola Enterprises Inc.,West Coast DevOps Developer (Requires TS/SCI Clearance),California,$140K (Employer est.),Python
San Francisco Bay University,Online Instructor - Computer Science,"Fremont, CA",$139.50 Per Hour (Employer est.),Python
Kett Engineering Corporation2.9,Reliability Test Engineer,"Santa Clara, CA",$30.00 Per Hour (Employer est.),Python
Stingray Direct4.5,E-commerce Data Scientist - Health and Wellness - California REMOTE,California,$110K - $130K (Employer est.),Python
NVIDIA4.6,Senior Firmware Architect - Server Manageability,"Santa Clara, CA",$216K - $414K (Employer est.),Python
Sandia National Laboratories4.1,R&D Radiation Transport and Effects Computational Scientist (Mid-Career/Experienced),"Livermore, CA",$88K - $143K (Glassdoor est.),Python
San Francisco Bay University,Adjunct Instructor – Computer Science (On-site),"Fremont, CA",$139.50 Per Hour (Employer est.),Python
Starfire Education3.6,"PT After-School Teacher - Gr K-8- Scratch, Python, Electrical Eng, Math","Menlo Park, CA",$46.00 - $52.00 Per Hour (Employer est.),Python
"General Dynamics Mission Systems, Inc3.9",Digital Signal Processing (DSP) Software Engineer,"San Jose, CA",$110K - $120K (Employer est.),Python
