,company,job-title,level
0,Meta,Software Engineer (University Grad),Not Applicable
1,Meta,Software Engineer (University Grad),Not Applicable
2,Meta,Software Engineer (University Grad),Not Applicable
3,Meta,Software Engineer (University Grad),Not Applicable
4,Notion,"Software Engineer, Intern (Summer 2024)",Internship
5,Meta,Software Engineer (University Grad),Not Applicable
6,Meta,Software Engineer (University Grad),Not Applicable
7,Meta,Software Engineer (University Grad),Not Applicable
8,Meta,"Software Engineer, Intern/Co-op",Internship
9,Netflix,Software Engineer (L5) - TV User Interface,Not Applicable
10,Discord,Software Engineer Intern - Design Systems,Internship
11,Oracle,Software Engineer,Entry level
12,Meta,"Software Engineer, Intern/Co-op",Internship
13,The Home Depot,SOFTWARE ENGINEER,Entry level
14,Discord,Software Engineer Intern - Perks (Core Product),Internship
15,Lockheed Martin,Software Engineer - Early Career,Entry level
16,Lockheed Martin,Software Engineer - Early Career,Entry level
17,Meta,"Software Engineer, Intern/Co-op",Internship
18,Lockheed Martin,Software Engineer - Early Career,Entry level
19,Lockheed Martin,Software Engineer - Early Career,Entry level
20,The Home Depot,Software Engineer,Entry level
21,The Home Depot,Software Engineer,Entry level
22,Lockheed Martin,Software Engineer - Early Career,Entry level
23,The Home Depot,Software Engineer,Entry level
24,Lockheed Martin,Software Engineer - Intern,Internship
25,Lockheed Martin,Software Engineer - Early Career,Entry level
26,Fleetio,Web Developer (Remote),Entry level
27,Lockheed Martin,Software Engineer Early Career,Entry level
28,Lockheed Martin,Software Engineer - Intern,Internship
29,Lee Enterprises,Junior Frontend Software Engineer,Entry level
30,Lockheed Martin,Software Engineer - Intern,Internship
31,The Home Depot,Software Engineer II (Remote),Entry level
32,The Home Depot,SOFTWARE ENGINEER 2,Entry level
33,Lockheed Martin,Software Engineer Intern,Internship
34,HeyGen,Fullstack Software Engineer,Entry level
35,Tangram Flex,Software Engineer Intern Spring Semester 2023,Entry level
36,Eulerity,Web Developer Intern,Internship
37,"ACES, Incorporated",Junior Software Engineer,Entry level
38,The Home Depot,Software Engineer,Entry level
39,The Home Depot,Software Engineer,Entry level
40,Lockheed Martin,Software Engineer - Intern,Internship
41,Vellum,Software Engineer - Frontend / Fullstack,Entry level
42,Lockheed Martin,Software Engineer - Early Career,Entry level
43,Fleetio,Web Developer (Remote),Entry level
44,Lockheed Martin,Software Engineer (Tool Developer) - Early Career,Entry level
45,Tangram Flex,Software Engineer Intern Spring Semester 2023,Entry level
