,company,job-title,level
0,Wispr AI,0-1 Software Engineer,Not Applicable
1,Lockheed Martin,Software Engineer – Early Career,Entry level
2,The Home Depot,SOFTWARE ENGINEER,Entry level
3,Lockheed Martin,Software Engineer - Early Career,Entry level
4,Lockheed Martin,Software Engineer - Early Career,Entry level
5,Lockheed Martin,Software Engineer - Early Career,Entry level
6,Lockheed Martin,Software Engineer - Intern,Internship
7,Lockheed Martin,Software Engineer - Early Career,Entry level
8,Nike,Front End Software Engineer - React,Entry level
9,The Home Depot,Software Engineer,Entry level
10,Vellum,Software Engineer - Frontend / Fullstack,Entry level
11,Vellum,Software Engineer - Frontend / Fullstack,Entry level
12,Vellum,Software Engineer - Backend / Fullstack,Entry level
13,Lockheed Martin,Software Engineer - Intern,Internship
14,Lockheed Martin,Software Engineer - Early Career,Entry level
15,Team Remotely Inc,Junior Software Engineer,Entry level
16,Lockheed Martin,Software Engineer – Early Career,Entry level
17,The Home Depot,SOFTWARE ENGINEER,Entry level
18,Lockheed Martin,Software Engineer - Early Career,Entry level
19,Lockheed Martin,Software Engineer - Early Career,Entry level
20,Lockheed Martin,Software Engineer - Early Career,Entry level
21,Team Remotely Inc,Junior Software Development Engineer,Entry level
22,The Home Depot,Software Engineer,Entry level
23,Lockheed Martin,Software Engineer - Early Career,Entry level
24,Vellum,Software Engineer - Frontend / Fullstack,Entry level
25,Lockheed Martin,Software Engineer - Intern,Internship
26,Paramount+,Full-Stack Software Engineer,Entry level
27,Lockheed Martin,Software Engineer (Tool Developer) - Early Career,Entry level
28,Lockheed Martin,Software Engineer - Early Career,Entry level
29,The Home Depot,Software Engineer II (Remote),Entry level
30,Altamira Technologies Corporation,Software Engineer (Up to $15K Sign-on Bonus available),Mid-Senior level
31,Modern Woodmen of America,Software Developer,Entry level
32,"Demco, Inc.",Front End Web Developer,Entry level
33,Lockheed Martin,Software Engineer - Early Career,Entry level
34,Starfish Space,Software Engineer (Recent Graduate) - Q1 2024 start dates,Entry level
35,The Home Depot,SOFTWARE ENGINEER 2,Entry level
