company,job-title,level,employment type
Meta,Software Engineer (University Grad),Not Applicable,
Meta,Software Engineer (University Grad),Not Applicable,
Meta,Software Engineer (University Grad),Not Applicable,
Meta,Software Engineer (University Grad),Not Applicable,
Notion,"Software Engineer, Intern (Summer 2024)",Internship,
Meta,Software Engineer (University Grad),Not Applicable,
Meta,Software Engineer (University Grad),Not Applicable,
Meta,Software Engineer (University Grad),Not Applicable,
Meta,"Software Engineer, Intern/Co-op",Internship,
Netflix,Software Engineer (L5) - TV User Interface,Not Applicable,
Discord,Software Engineer Intern - Design Systems,Internship,
Oracle,Software Engineer,Entry level,
Meta,"Software Engineer, Intern/Co-op",Internship,
The Home Depot,SOFTWARE ENGINEER,Entry level,
Discord,Software Engineer Intern - Perks (Core Product),Internship,
Lockheed Martin,Software Engineer - Early Career,Entry level,
Lockheed Martin,Software Engineer - Early Career,Entry level,
Meta,"Software Engineer, Intern/Co-op",Internship,
Lockheed Martin,Software Engineer - Early Career,Entry level,
Lockheed Martin,Software Engineer - Early Career,Entry level,
The Home Depot,Software Engineer,Entry level,
The Home Depot,Software Engineer,Entry level,
,,,
,,,
,,,
Lockheed Martin,Software Engineer - Early Career,Entry level,
,,,
,,,
,,,
,,,
The Home Depot,Software Engineer,Entry level,
Lockheed Martin,Software Engineer - Intern,Internship,
Lockheed Martin,Software Engineer - Early Career,Entry level,
Fleetio,Web Developer (Remote),Entry level,
,,,
Lockheed Martin,Software Engineer Early Career,Entry level,
Lockheed Martin,Software Engineer - Intern,Internship,
Lee Enterprises,Junior Frontend Software Engineer,Entry level,
,,,
,,,
Lockheed Martin,Software Engineer - Intern,Internship,
,,,
The Home Depot,Software Engineer II (Remote),Entry level,
The Home Depot,SOFTWARE ENGINEER 2,Entry level,
Lockheed Martin,Software Engineer Intern,Internship,
HeyGen,Fullstack Software Engineer,Entry level,
Tangram Flex,Software Engineer Intern Spring Semester 2023,Entry level,
,,,
Eulerity,Web Developer Intern,Internship,
"ACES, Incorporated",Junior Software Engineer,Entry level,
,,,
,,,
,,,
The Home Depot,Software Engineer,Entry level,
The Home Depot,Software Engineer,Entry level,
Lockheed Martin,Software Engineer - Intern,Internship,
Vellum,Software Engineer - Frontend / Fullstack,Entry level,
Lockheed Martin,Software Engineer - Early Career,Entry level,
Fleetio,Web Developer (Remote),Entry level,
Lockheed Martin,Software Engineer (Tool Developer) - Early Career,Entry level,
Tangram Flex,Software Engineer Intern Spring Semester 2023,Entry level,
,,,
Lockheed Martin,Software Engineer - Intern,Internship,
Lee Enterprises,Junior Frontend Software Engineer,Entry level,
"Happy Returns, a UPS Company",Software Engineer- Remote,Entry level,
Planned Systems International,Jr Web Developer (Entry Level),Not Applicable,
,,,
The Home Depot,Software Engineer II (Remote),Entry level,
,,,
,,,
Lockheed Martin,Software Engineer- Intern,Internship,
,,,
,,,
,,,
CBS Philadelphia,Full-Stack Software Engineer,Entry level,
,,,
,,,
,,,
,,,
,,,
,,,
Fleetio,Web Developer (Remote),Entry level,
,,,
Lockheed Martin,Software Engineer Early Career,Entry level,
Lockheed Martin,Software Engineer - Intern,Internship,
Lee Enterprises,Junior Frontend Software Engineer,Entry level,
,,,
,,,
Lockheed Martin,Software Engineer - Intern,Internship,
The Home Depot,SOFTWARE ENGINEER 2,Entry level,
The Home Depot,Software Engineer II (Remote),Entry level,
The Home Depot,SOFTWARE ENGINEER 2,Entry level,
Lockheed Martin,Software Engineer Intern,Internship,
HeyGen,Fullstack Software Engineer,Entry level,
Tangram Flex,Software Engineer Intern Spring Semester 2023,Entry level,
CBS Philadelphia,Full-Stack Software Engineer,Entry level,
,,,
,,,
Lockheed Martin,Software Engineer,Entry level,
Lockheed Martin,"Software Engineer - Early Career - Dallas, TX",Entry level,
,,,
,,,
The Home Depot,Software Engineer,Entry level,
Lockheed Martin,Software Engineer - Intern,Internship,
,,,
Lockheed Martin,Software Engineer - Early Career,Entry level,
Fleetio,Web Developer (Remote),Entry level,
,,,
